node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
000_fm_baseline,,draft,draft,0.60147,0.66713,0.53581,,,,true,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,50.8
000_fm_s1,000_fm_baseline,improve,ablate,0.60176,0.66739,0.53613,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,28.2
001_fm_s2,000_fm_baseline,improve,ablate,0.60109,0.66706,0.53512,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,36.9
003_eda,000_fm_baseline,eda,eda,,,,,,,,false,false,,eda,0,0,0.0
004_research,000_fm_baseline,research,research,,,,,,,,false,false,,research:KuaiRand Pure long_view ranking TechJam track2,0,0,0.0
005_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/OwenWen00_bytedance-techjam-2026-kuairand/README.md,0,0,0.0
006_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/rbrishi15_kuairand-agent/README.md,0,0,0.0
007_draft,,draft,draft,0.60383,0.66997,0.53769,0.00239,0.00085,0.00383,,false,false,,"{""arch"": ""deepfm""}",6112,4798,40.0
008_draft,,draft,draft,0.57712,0.63148,0.52276,-0.02432,-0.02754,-0.02093,,false,false,,"{""model_family"": ""gbm""}",6178,3445,5.1
009_ablate_c0_s0,007_draft,improve,ablate,0.60383,0.66997,0.53769,0.00239,0.00085,0.00383,true,false,false,,"{""arch"": ""deepfm"", ""seed"": 0}",0,0,44.5
010_ablate_c0_s1,007_draft,improve,ablate,0.60369,0.67011,0.53726,0.00224,0.00063,0.00370,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 1}",0,0,39.8
011_ablate_c0_s2,007_draft,improve,ablate,0.60407,0.67049,0.53765,0.00263,0.00102,0.00409,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 2}",0,0,53.9
012_ablate_c1_s0,007_draft,improve,ablate,0.60362,0.66992,0.53733,0.00218,0.00049,0.00382,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,68.8
013_ablate_c1_s1,007_draft,improve,ablate,0.60356,0.67050,0.53663,0.00212,0.00056,0.00364,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,59.6
014_ablate_c1_s2,007_draft,improve,ablate,0.60300,0.66959,0.53640,0.00156,-0.00031,0.00322,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,58.7
015_ablate,007_draft,ablate,ablate,,,,,,,,false,false,,ablate,6655,2132,0.0
